run_id,ticket_id,agent,model,cost_usd,started_at
run-0066,TCK-0041,support-bot,claude-fable-5,0.94,2026-06-26T04:14:00Z
run-0067,TCK-0042,support-bot,claude-fable-5,1.07,2026-06-25T07:14:00Z
run-0068,TCK-0042,support-bot,claude-fable-5,1.34,2026-06-25T04:14:00Z
run-0069,TCK-0043,support-bot,gpt-5,1.66,2026-06-12T06:14:00Z
run-0070,TCK-0043,support-bot,gpt-5,1.41,2026-06-12T05:14:00Z
run-0071,TCK-0044,support-bot,gpt-5,2.16,2026-06-25T06:14:00Z
run-0072,TCK-0045,support-bot,gpt-5,2.14,2026-06-03T06:14:00Z
run-0073,TCK-0046,support-bot,claude-fable-5,1.20,2026-06-10T08:14:00Z
run-0074,TCK-0047,support-bot,gpt-5,1.59,2026-06-12T07:14:00Z
run-0075,TCK-0047,support-bot,claude-fable-5,1.11,2026-06-12T01:14:00Z
run-0076,TCK-0048,support-bot,claude-fable-5,1.37,2026-06-05T06:14:00Z
run-0077,TCK-0049,support-bot,gpt-5,1.62,2026-06-18T04:14:00Z
run-0078,TCK-0049,support-bot,claude-fable-5,1.13,2026-06-18T01:14:00Z
run-0079,TCK-0050,support-bot,claude-fable-5,0.95,2026-06-06T07:14:00Z
run-0080,TCK-0051,support-bot,claude-fable-5,1.32,2026-06-01T06:14:00Z
run-0081,TCK-0051,support-bot,gpt-5,1.53,2026-06-01T07:14:00Z
run-0082,TCK-0052,support-bot,claude-fable-5,1.34,2026-06-22T07:14:00Z
run-0083,TCK-0052,support-bot,gpt-5,1.55,2026-06-22T02:14:00Z
run-0084,TCK-0053,support-bot,claude-fable-5,0.91,2026-06-05T01:14:00Z
run-0085,,support-bot,claude-fable-5,0.99,2026-06-20T08:14:00Z
run-0086,TCK-0054,support-bot,gpt-5,1.64,2026-06-20T07:14:00Z
run-0087,TCK-0055,support-bot,claude-fable-5,1.33,2026-06-16T06:14:00Z
run-0088,TCK-0055,support-bot,gpt-5,1.78,2026-06-16T05:14:00Z
run-0089,TCK-0056,support-bot,gpt-5,2.00,2026-06-20T08:14:00Z
run-0090,TCK-0056,support-bot,gpt-5,1.47,2026-06-20T03:14:00Z
run-0091,TCK-0057,support-bot,claude-fable-5,1.08,2026-06-27T02:14:00Z
run-0092,TCK-0057,support-bot,gpt-5,1.32,2026-06-27T07:14:00Z
run-0093,TCK-0058,support-bot,claude-fable-5,1.03,2026-06-12T07:14:00Z
run-0094,TCK-0059,support-bot,claude-fable-5,1.31,2026-06-04T05:14:00Z
run-0095,TCK-0060,support-bot,claude-fable-5,0.97,2026-06-25T06:14:00Z
run-0096,TCK-0060,support-bot,gpt-5,1.80,2026-06-25T05:14:00Z
run-0097,TCK-0061,support-bot,gpt-5,1.95,2026-06-17T03:14:00Z
run-0098,TCK-0062,support-bot,claude-fable-5,1.01,2026-06-09T00:14:00Z
run-0099,TCK-0063,support-bot,gpt-5,2.12,2026-06-13T08:14:00Z
run-0100,TCK-0064,support-bot,claude-fable-5,1.10,2026-06-01T02:14:00Z
run-0101,TCK-0064,support-bot,claude-fable-5,1.35,2026-06-01T04:14:00Z
run-0102,TCK-0065,support-bot,claude-fable-5,0.99,2026-06-20T08:14:00Z
run-0103,TCK-0065,support-bot,claude-fable-5,1.25,2026-06-20T07:14:00Z
run-0104,TCK-0066,support-bot,claude-fable-5,1.17,2026-06-19T08:14:00Z
run-0105,TCK-0067,support-bot,claude-fable-5,1.22,2026-06-13T02:14:00Z
run-0106,TCK-0067,support-bot,gpt-5,1.50,2026-06-13T08:14:00Z
run-0107,,support-bot,gpt-5,1.37,2026-06-08T06:14:00Z
run-0108,TCK-0068,support-bot,claude-fable-5,0.93,2026-06-08T00:14:00Z
run-0109,TCK-0069,support-bot,claude-fable-5,1.14,2026-06-01T06:14:00Z
run-0110,TCK-0070,support-bot,claude-fable-5,1.03,2026-06-14T04:14:00Z
run-0111,TCK-0070,support-bot,claude-fable-5,1.39,2026-06-14T01:14:00Z
run-0112,TCK-0071,support-bot,claude-fable-5,1.32,2026-06-03T04:14:00Z
run-0113,TCK-0072,support-bot,gpt-5,1.55,2026-06-25T00:14:00Z
run-0114,TCK-0073,support-bot,gpt-5,1.53,2026-06-20T03:14:00Z
run-0115,TCK-0073,support-bot,gpt-5,1.71,2026-06-20T03:14:00Z
run-0116,TCK-0074,support-bot,gpt-5,1.73,2026-06-06T01:14:00Z
run-0117,TCK-0075,support-bot,claude-fable-5,1.29,2026-06-10T05:14:00Z
run-0118,,support-bot,gpt-5,1.45,2026-06-21T00:14:00Z
run-0119,TCK-0076,support-bot,claude-fable-5,1.16,2026-06-21T06:14:00Z
run-0120,TCK-0077,support-bot,claude-fable-5,1.16,2026-06-10T05:14:00Z
run-0121,TCK-0078,support-bot,claude-fable-5,1.10,2026-06-01T02:14:00Z
run-0122,MSG-100,triage-bot,qwen-3,0.08,2026-06-05T11:02:00Z
run-0123,MSG-101,triage-bot,qwen-3,0.08,2026-06-02T11:02:00Z
run-0124,MSG-102,triage-bot,qwen-3,0.08,2026-06-23T11:02:00Z
run-0125,MSG-103,triage-bot,qwen-3,0.09,2026-06-09T11:02:00Z
run-0126,MSG-104,triage-bot,qwen-3,0.08,2026-06-22T11:02:00Z
run-0127,MSG-105,triage-bot,qwen-3,0.07,2026-06-27T11:02:00Z
run-0128,MSG-106,triage-bot,qwen-3,0.09,2026-06-19T11:02:00Z
run-0129,MSG-107,triage-bot,qwen-3,0.07,2026-06-17T11:02:00Z
run-0130,MSG-108,triage-bot,qwen-3,0.07,2026-06-19T11:02:00Z
run-0131,MSG-109,triage-bot,qwen-3,0.07,2026-06-23T11:02:00Z
run-0132,MSG-110,triage-bot,qwen-3,0.06,2026-06-04T11:02:00Z
run-0133,MSG-111,triage-bot,qwen-3,0.08,2026-06-09T11:02:00Z
run-0134,MSG-112,triage-bot,qwen-3,0.06,2026-06-07T11:02:00Z
run-0135,MSG-113,triage-bot,qwen-3,0.07,2026-06-25T11:02:00Z
run-0136,MSG-114,triage-bot,qwen-3,0.08,2026-06-15T11:02:00Z
run-0137,MSG-115,triage-bot,qwen-3,0.06,2026-06-01T11:02:00Z
